area_swept_ha_der,date_yyyymmdd,depth_hi_prec_m,invertebrate_weight_kg,latitude_hi_prec_dd,longitude_hi_prec_dd,mean_seafloor_dep_position_type,midtow_position_type,nonspecific_organics_weight_kg,performance,program,project,sample_duration_hr_der,sampling_end_hhmmss,sampling_start_hhmmss,station_code,tow_end_timestamp,tow_start_timestamp,trawl_id,vertebrate_weight_kg,vessel,vessel_id,year,year_stn_invalid
NA,20070521,69.0973,NA,46.83760917,-124.3944858,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,6783,2007-05-21T16:08:51Z,2007-05-21T15:42:13Z,2.00703E+11,NA,Ms. Julie,10,2007,NA
NA,20090526,74.4407,8.9,46.96076833,-124.49474,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,6660,2009-05-26T06:04:35Z,2009-05-26T05:24:36Z,2.00903E+11,79.41,Ms. Julie,10,2009,NA
NA,20050925,236.281,NA,37.30265262,-122.8669119,Gross Operation Depth,Gear Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.275,71759,70129,14269,2005-09-25T07:30:15Z,2005-09-25T06:50:24Z,2.00503E+11,NA,Excalibur,8,2005,NA
NA,20050929,56.6928,NA,36.11875833,-121.659475,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.143333,173415,172539,15038,2005-09-29T17:43:24Z,2005-09-29T17:20:29Z,2.00503E+11,NA,Excalibur,8,2005,2003
1.178599629,20051016,581.3504,33.17,33.657475,-118.6017958,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.203333,71607,70355,18110,2005-10-16T07:50:05Z,2005-10-16T06:43:14Z,2.00503E+11,20.27,Excalibur,8,2005,NA
1.530573696,20050531,136.0367,24.03,45.83433914,-124.2776917,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.275,181413,175743,7809,2005-05-31T18:25:26Z,2005-05-31T17:50:46Z,2.00503E+11,235.64,Ms. Julie,10,2005,NA
1.453993788,20050606,135.9776,17.39,46.31770294,-124.469995,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.263333,132704,131116,7248,2005-06-06T13:37:18Z,2005-06-06T13:03:27Z,2.00503E+11,489.03,Ms. Julie,10,2005,NA
1.582127724,20050619,304.9347,28.74,43.8555263,-124.8086404,Bottom Depth,Gear Start Haulback,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.27,93436,91824,9770,2005-06-19T09:52:10Z,2005-06-19T09:05:48Z,2.00503E+11,241.99,Ms. Julie,10,2005,NA
1.369797968,20050708,102.4126,22.17,36.88066542,-122.1705893,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.27,111234,105622,14605,2005-07-08T11:21:01Z,2005-07-08T10:49:44Z,2.00503E+11,95.33,Ms. Julie,10,2005,NA
2.142588916,20050723,1027.9281,11,32.93545833,-117.86765,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.456667,104215,101451,20403,2005-07-23T11:17:26Z,2005-07-23T09:45:47Z,2.00503E+11,92.64,Ms. Julie,10,2005,NA
NA,20080520,143.8206,18.05,48.16414167,-125.4764458,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,4905,2008-05-20T06:05:11Z,2008-05-20T05:30:56Z,2.00803E+11,69.35,Ms. Julie,10,2008,NA
NA,20041010,137.16,NA,33.722475,-119.917875,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,18154,2004-10-10T13:58:49Z,2004-10-10T13:39:36Z,2.00403E+11,NA,Excalibur,8,2004,NA
NA,20050929,54.864,NA,36.11711667,-121.65775,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,15038,2005-09-29T17:12:21Z,2005-09-29T16:45:20Z,2.00503E+11,NA,Excalibur,8,2005,2003
NA,20051014,301.752,NA,32.8265,-117.3329083,Station-defined Midpoint,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20536,2005-10-14T12:50:30Z,2005-10-14T12:29:10Z,2.00503E+11,NA,Excalibur,8,2005,NA
NA,20050601,945.4896,NA,47.01633333,-125.0762333,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,6609,2005-06-01T15:02:25Z,2005-06-01T14:20:49Z,2.00503E+11,NA,Ms. Julie,10,2005,NA
NA,20050603,111.5568,NA,48.15763333,-125.39665,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,4907,2005-06-03T16:28:26Z,2005-06-03T16:07:27Z,2.00503E+11,NA,Ms. Julie,10,2005,NA
NA,20100529,114.2671,1.55,48.09369014,-125.4012721,Gross Operation Depth,Gear Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,5022,2010-05-29T05:45:09Z,2010-05-29T05:20:28Z,2.01003E+11,14.7,Ms. Julie,10,2010,NA
1.624528926,20060717,71.9198,507.57,33.79172911,-118.4684907,Bottom Depth,Gear Start Haulback,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.265,153412,151818,17803,2006-07-17T15:41:56Z,2006-07-17T15:14:03Z,2.00603E+11,43.83,Noahs Ark,17,2006,NA
1.882393243,20060831,143.1473,24.54,44.60544583,-124.5491667,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.328333,192019,190037,9072,2006-08-31T19:34:28Z,2006-08-31T18:53:07Z,2.00603E+11,435.98,Raven,18,2006,NA
NA,20110522,77.0449,NA,47.150085,-124.6016908,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,6422,2011-05-22T09:55:27Z,2011-05-22T09:43:18Z,2.01103E+11,NA,Ms. Julie,10,2011,NA
1.845407795,20070710,236.1237,52.938,35.01271553,-120.9183908,Bottom Depth,Gear Start Haulback,50.701,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.318333,63142,61236,16073,2007-07-10T06:44:41Z,2007-07-10T06:02:25Z,2.00703E+11,229.02,Noahs Ark,17,2007,NA
NA,20060926,914.4,NA,35.62193333,-121.9518167,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,15461,2006-09-26T12:23:33Z,2006-09-26T11:44:58Z,2.00603E+11,NA,Raven,18,2006,NA
NA,20080921,123.8211,6.17,40.53325708,-124.5922329,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.266667,114630,113030,11977,2008-09-21T11:54:26Z,2008-09-21T11:23:40Z,2.00803E+11,45.03,Excalibur,8,2008,NA
NA,20081017,433.1818,0.17,32.35569167,-119.6596333,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,22472,2008-10-17T11:06:12Z,2008-10-17T10:30:51Z,2.00803E+11,2.42,Excalibur,8,2008,NA
NA,20120629,361.5236,44.25,37.97430167,-123.4524233,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,13792,2012-06-29T15:14:49Z,2012-06-29T14:06:53Z,2.01203E+11,102.3,Noahs Ark,17,2012,NA
NA,20130613,1013.8296,15.97,42.78036417,-124.9567125,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,10527,2013-06-13T17:09:16Z,2013-06-13T15:40:01Z,2.01303E+11,103.24,Noahs Ark,17,2013,NA
1.831124191,20080926,95.3616,130.52,38.144865,-123.176495,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.283333,151359,145659,13703,2008-09-26T15:21:07Z,2008-09-26T14:51:33Z,2.00803E+11,106.67,Raven,18,2008,NA
NA,20091009,740.1145,NA,35.40404333,-121.4059208,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,15684,2009-10-09T12:21:30Z,2009-10-09T11:17:12Z,2.00903E+11,NA,Excalibur,8,2009,NA
NA,20091019,66.3338,1.52,32.7837375,-117.3217592,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20762,2009-10-19T11:07:37Z,2009-10-19T10:42:45Z,2.00903E+11,6.05,Excalibur,8,2009,NA
NA,20091022,278.2071,47.2,33.61339667,-119.8827525,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,18467,2009-10-22T10:45:34Z,2009-10-22T10:06:09Z,2.00903E+11,46.3,Excalibur,8,2009,NA
NA,20090610,88.7632,8.52,44.64092333,-124.4436742,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,9045,2009-06-10T08:56:00Z,2009-06-10T08:34:15Z,2.00903E+11,0.28,Ms. Julie,10,2009,NA
NA,20090614,611.0884,7.7,43.58458583,-124.74652,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,10015,2009-06-14T06:41:04Z,2009-06-14T05:31:32Z,2.00903E+11,67.61,Ms. Julie,10,2009,NA
1.671067764,20140827,113.0834,27.04,48.05268833,-124.9903567,Bottom Depth,Vessel Net Touchdown,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.281111,194717,193025,5081,2014-08-27T19:57:36Z,2014-08-27T19:22:24Z,2.01403E+11,264.54,Ms. Julie,10,2014,NA
NA,20100713,374.5065,NA,33.2309325,-119.8932808,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,19767,2010-07-13T08:06:05Z,2010-07-13T07:36:01Z,2.01003E+11,NA,Noahs Ark,17,2010,NA
NA,20100713,504.1989,89.05,33.91195682,-119.7348012,Gross Operation Depth,Gear Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,17683,2010-07-13T17:02:59Z,2010-07-13T16:02:29Z,2.01003E+11,66.1,Ms. Julie,10,2010,NA
NA,20100717,96.9957,12.92,32.78171917,-117.373985,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.29,114841,113117,20760,2010-07-17T11:58:13Z,2010-07-17T11:24:40Z,2.01003E+11,371.16,Ms. Julie,10,2010,NA
2.77409196,20100715,1005.3387,33.98,32.54734967,-118.6208376,Bottom Depth,Gear Start Haulback,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.395,90757,84415,21774,2010-07-15T09:45:02Z,2010-07-15T08:09:14Z,2.01003E+11,53.41,Noahs Ark,17,2010,NA
NA,20111013,834.1003,2,32.93689167,-118.23203,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20391,2011-10-13T08:16:58Z,2011-10-13T07:03:04Z,2.01103E+11,0.38,Excalibur,8,2011,NA
NA,20110603,414.9376,104.05,45.74803333,-124.7673692,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,7867,2011-06-03T10:32:59Z,2011-06-03T09:47:30Z,2.01103E+11,97.75,Ms. Julie,10,2011,NA
NA,20110528,285.094,1.4,45.66227833,-124.60397,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,7976,2011-05-28T16:42:36Z,2011-05-28T16:11:50Z,2.01103E+11,36.08,Noahs Ark,17,2011,NA
NA,20110824,852.5928,96.99,47.89840875,-125.4094242,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.379167,130125,123840,5309,2011-08-24T13:25:23Z,2011-08-24T12:18:11Z,2.01103E+11,128.13,Raven,18,2011,NA
0.006566192,20120820,127.512,14.59,46.63285375,-124.5235829,Bottom Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.2425,185243,183810,6970,2012-08-20T19:00:41Z,2012-08-20T18:29:38Z,2.01203E+11,218.92,Excalibur,8,2012,NA
1.957457291,20120916,979.1846,31.89,41.40834417,-124.8489667,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.3625,72256,70111,11448,2012-09-16T07:52:09Z,2012-09-16T06:33:02Z,2.01203E+11,360.32,Excalibur,8,2012,NA
0.007524835,20140705,106.8514,21.05,35.35304167,-120.9929958,Bottom Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.206944,61912,60647,15731,2014-07-05T06:27:06Z,2014-07-05T05:59:37Z,2.01403E+11,70.92,Last Straw,20,2014,NA
NA,20071007,91.7466,NA,34.54905,-120.7234667,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,16539,2007-10-07T07:36:43Z,2007-10-07T07:04:31Z,2.00703E+11,NA,Excalibur,8,2007,NA
NA,20090925,492.8449,NA,39.25425667,-124.0167083,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,13092,2009-09-25T08:41:00Z,2009-09-25T08:22:35Z,2.00903E+11,NA,Excalibur,8,2009,NA
NA,20141011,674.9395,1.38,32.49088,-118.7249533,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,21969,2014-10-11T17:39:30Z,2014-10-11T16:23:36Z,2.01403E+11,1.16,Ms. Julie,10,2014,NA
NA,20031022,67.6656,NA,32.80795,-117.3288833,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20648,2003-10-22T17:44:52Z,2003-10-22T17:27:47Z,2.00303E+11,NA,Blue Horizon,3,2003,NA
1.747090952,20121008,92.2201,75.03,34.09459083,-119.8312225,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.304722,140158,134341,17256,2012-10-08T14:09:03Z,2012-10-08T13:38:32Z,2.01203E+11,265.75,Noahs Ark,17,2012,NA
NA,20120822,148.7333,NA,48.1582875,-125.5714158,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,4903,2012-08-22T11:57:53Z,2012-08-22T11:34:12Z,2.01203E+11,NA,Excalibur,8,2012,NA
1.769370568,20130607,346.1229,45.97,44.89747538,-124.6613908,Bottom Depth,Gear Start Haulback,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.306389,104622,102759,8773,2013-06-07T10:58:27Z,2013-06-07T10:15:14Z,2.01303E+11,297.17,Noahs Ark,17,2013,NA
NA,20030627,138.9888,NA,48.07136667,-125.48595,Gross Operation Depth,Vessel Abort,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,5068,2003-06-27T15:00:48Z,2003-06-27T14:29:42Z,2.00303E+11,NA,Ms. Julie,10,2003,NA
1.746476407,20130608,351.7631,25.92,45.73744594,-124.7617722,Bottom Depth,Gear Start Haulback,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.307778,60615,54747,7904,2013-06-08T06:26:57Z,2013-06-08T05:30:17Z,2.01303E+11,143.53,Last Straw,20,2013,NA
1.684461807,20130714,91.522,524.38,34.08417375,-119.7051825,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.293611,64605,62828,17260,2013-07-14T06:56:34Z,2013-07-14T06:19:11Z,2.01303E+11,141.72,Last Straw,20,2013,NA
0.006066998,20130719,451.848,104.614,33.2305775,-117.5511292,Bottom Depth,Vessel Track Midpoint,57.971,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.356389,173758,171635,19291,2013-07-19T17:56:07Z,2013-07-19T16:58:21Z,2.01303E+11,14.22,Last Straw,20,2013,NA
1.449624666,20140827,61.0693,45.76,46.58861625,-124.2689588,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.278056,110016,104335,7008,2014-08-27T11:06:04Z,2014-08-27T10:38:21Z,2.01403E+11,169.05,Excalibur,8,2014,NA
NA,20060717,344.7288,NA,32.81292667,-117.8426383,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20744,2006-07-17T11:07:17Z,2006-07-17T10:29:33Z,2.00603E+11,NA,Ms. Julie,10,2006,NA
3.009118351,20140703,1094.3107,110.575,36.016705,-121.85636,Bottom Depth,Vessel Track Midpoint,0.755,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.486667,173721,170809,15124,2014-07-03T18:26:35Z,2014-07-03T16:39:00Z,2.01403E+11,257.66,Noahs Ark,17,2014,NA
NA,20140530,79.0425,17.05,45.88400583,-124.1127417,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.186667,125602,124450,7742,2014-05-30T13:08:42Z,2014-05-30T12:34:15Z,2.01403E+11,121.51,Last Straw,20,2014,NA
NA,20150716,312.3561,NA,32.78269,-117.8367283,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,20858,2015-07-16T20:02:56Z,2015-07-16T19:27:52Z,2.01503E+11,10.66,Excalibur,8,2015,NA
NA,20151011,73.6714,1.85,34.08119083,-120.188225,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,17329,2015-10-11T18:09:35Z,2015-10-11T17:36:03Z,2.01503E+11,2.02,Ms. Julie,10,2015,NA
NA,20050601,333.4512,NA,46.0601,-124.8201833,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,7532,2005-06-01T16:42:12Z,2005-06-01T15:52:05Z,2.00503E+11,NA,Noahs Ark,17,2005,NA
3.205165826,20150920,1127.3695,63.931,39.53852167,-124.1693611,Bottom Depth,Vessel Track Midpoint,17.29,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.661944,82115,74132,12917,2015-09-20T08:53:56Z,2015-09-20T07:06:09Z,2.01503E+11,190,Noahs Ark,17,2015,NA
NA,20151017,65.5292,7.9,33.78296667,-118.469705,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,17803,2015-10-17T15:28:15Z,2015-10-17T14:54:39Z,2.01503E+11,8.88,Noahs Ark,17,2015,NA
NA,20150525,161.1748,0.1,46.12144417,-124.6325817,Gross Operation Depth,Vessel Track Midpoint,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.236944,102849,101436,7462,2015-05-25T10:37:49Z,2015-05-25T10:04:34Z,2.01503E+11,NA,Last Straw,20,2015,NA
NA,20050606,296.9971,NA,47.22044167,-124.8939583,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,6325,2005-06-06T06:05:10Z,2005-06-06T05:19:17Z,2.00503E+11,NA,Noahs Ark,17,2005,NA
NA,20150704,89.3743,80.73,35.34881333,-120.96265,Gross Operation Depth,Vessel Start Haulback,NA,Unsatisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,NA,NA,NA,15732,2015-07-04T14:54:44Z,2015-07-04T14:25:29Z,2.01503E+11,179.81,Last Straw,20,2015,NA
1.666085006,20140827,88.6904,21.06,46.75976625,-124.4576783,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.281389,130150,124457,6843,2014-08-27T13:06:59Z,2014-08-27T12:38:25Z,2.01403E+11,119.92,Excalibur,8,2014,NA
1.593876066,20140827,79.4491,17.34,46.79083933,-124.4048513,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.281667,135341,133647,6813,2014-08-27T14:02:59Z,2014-08-27T13:29:41Z,2.01403E+11,207.37,Excalibur,8,2014,NA
1.656714801,20030831,527.5357,14.007,46.30424583,-124.7250958,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.294722,182943,181202,7277,2003-08-31T18:45:08Z,2003-08-31T17:37:06Z,2.00303E+11,65.407,Blue Horizon,3,2003,NA
2.298760995,20030901,673.7497,20.208,46.73216629,-124.9303665,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.313611,62042,60153,6862,2003-09-01T06:38:47Z,2003-09-01T05:21:10Z,2.00303E+11,79.202,Blue Horizon,3,2003,NA
1.772625694,20030901,276.165,25.35,46.71926308,-124.8186417,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.278056,90148,84507,6865,2003-09-01T09:11:29Z,2003-09-01T08:16:25Z,2.00303E+11,645.73,Blue Horizon,3,2003,NA
2.705156807,20030901,823.6656,22.245,46.92418671,-125.0964546,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.419722,132357,125846,6675,2003-09-01T13:44:33Z,2003-09-01T12:22:58Z,2.00303E+11,193.144,Blue Horizon,3,2003,NA
1.959947209,20030901,172.6837,4.02,47.0143875,-124.9829917,Bottom Depth,Vessel Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.332778,160536,154538,6612,2003-09-01T16:11:30Z,2003-09-01T15:29:39Z,2.00303E+11,1991.3,Blue Horizon,3,2003,NA
2.39995548,20030902,985.7053,27.457,47.5638485,-125.4361725,Bottom Depth,Gear Track Midpoint,NA,Satisfactory,Bottom Trawl,Groundfish Slope and Shelf Combination Survey,0.376944,60906,54629,5820,2003-09-02T06:34:22Z,2003-09-02T05:14:33Z,2.00303E+11,154.846,Blue Horizon,3,2003,NA
